기준일ID,시간대구분,행정동코드,총생활인구수
20211231,23,11140615,14469.2312
20211231,23,11110640,15316.6893
20211231,23,11170580,9489.9776
20211231,23,11560690,16011.0609
20211231,23,11500605,12095.3501
20211231,23,11110615,24417.017
20211231,23,11545700,13500.3632
20211231,23,11740590,13224.4096
20211231,23,11200520,14049.0079
20211231,23,11650530,48778.832
20211231,23,11350630,42304.9374
20211231,23,11200620,14030.056
20211231,23,11590640,21674.1806
20211231,23,11560535,38165.5183
20211231,23,11140550,12757.6211
20211231,23,11350695,45545.8777
20211231,23,11350710,19764.9844
20211231,23,11410690,7617.9584
20211231,23,11545710,13398.2559
20211231,23,11350580,30825.5664
20211231,23,11710646,35048.0725
20211231,23,11350595,43605.1118
20211231,23,11350560,22923.832
20211231,23,11680690,16723.8158
20211231,23,11350625,33185.3451
20211231,23,11500540,50775.4406
20211231,23,11350700,21464.45
20211231,23,11545670,29242.5975
20211231,23,11560650,15429.6584
20211231,23,11410585,34354.4923
20211231,23,11560610,18764.2189
20211231,23,11710562,30889.7017
20211231,23,11620695,26266.4221
20211231,23,11215740,15880.7413
20211231,23,11440720,22059.8874
20211231,23,11215730,17176.0764
20211231,23,11650540,30284.0315
20211231,23,11650570,15532.5926
20211231,23,11560700,17846.1406
20211231,23,11710600,31838.4252
20211231,23,11530560,28570.4663
20211231,23,11590651,12628.7956
20211231,23,11230536,30422.6099
20211231,23,11350624,17215.2919
20211231,23,11320700,12284.7469
20211231,23,11260620,29986.9343
20211231,23,11650510,25477.7434
20211231,23,11710570,37184.3755
20211231,23,11380640,12873.1093
20211231,23,11590530,47927.9324
20211231,23,11380690,64807.8367
20211231,23,11410660,16895.4443
20211231,23,11710520,33932.8562
20211231,23,11350665,23129.948
20211231,23,11650560,28262.5514
20211231,23,11110600,4501.1006
20211231,23,11440630,18910.6314
20211231,23,11620630,20694.4775
20211231,23,11680730,15616.1351
20211231,23,11500630,35519.331
20211231,23,11560680,24369.816
20211231,23,11350600,41629.952
20211231,23,11410710,14944.7943
20211231,23,11230720,15146.3703
20211231,23,11590620,24349.5026
20211231,23,11560560,32633.1188
20211231,23,11620575,26174.7796
20211231,23,11590670,19562.2647
20211231,23,11410555,39656.5533
20211231,23,11230610,25762.6141
20211231,23,11380600,25264.9449
20211231,23,11620525,18050.5902
20211231,23,11440655,26115.9917
20211231,23,11380625,46316.985
20211231,23,11590680,22012.308
20211231,23,11530720,20992.5197
20211231,23,11680521,32302.1207
20211231,23,11710631,26516.6082
20211231,23,11290590,17289.1064
20211231,23,11710641,20266.4185
20211231,23,11200690,19849.403
20211231,23,11530730,21608.2206
20211231,23,11230600,25659.2238
20211231,23,11740690,5485.8371
20211231,23,11620735,24268.3047
20211231,23,11620605,29993.4772
20211231,23,11710590,20539.2649
20211231,23,11380530,26468.6956
20211231,23,11680600,25328.0834
20211231,23,11530550,18661.5344
20211231,23,11650520,27667.3572
20211231,23,11230545,30137.732
20211231,23,11470540,21687.6749
20211231,23,11740685,56597.5455
20211231,23,11500611,33165.7067
20211231,23,11215810,36194.0265
20211231,23,11560550,22589.9182
