시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,도로형태,가해운전자 차종,피해운전자 차종
서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,이륜
서울특별시 강남구 수서동,중상사고,0,1,1,0,차대차 - 기타,교차로 - 교차로안,승용,승용
서울특별시 강북구 미아동,경상사고,0,0,2,0,차대차 - 기타,기타 - 기타,승용,승용
서울특별시 동작구 사당동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,화물,승용
서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,원동기
서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,승용,승용
서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 강서구 화곡동,중상사고,0,1,1,0,차대차 - 기타,교차로 - 교차로안,이륜,승용
서울특별시 송파구 가락동,경상사고,0,0,1,1,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 서초구 반포동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 양천구 신월동,중상사고,0,1,2,0,차대차 - 기타,교차로 - 교차로부근,이륜,승용
서울특별시 동대문구 이문동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로안,승용,이륜
서울특별시 서초구 염곡동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,화물,승용
서울특별시 중구 소공동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 종로구 낙원동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 영등포구 영등포동7가,중상사고,0,1,3,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 중랑구 면목동,경상사고,0,0,3,0,차대차 - 정면충돌,교차로 - 교차로안,승용,승용
서울특별시 관악구 남현동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 정면충돌,단일로 - 기타,원동기,기타불명
서울특별시 서초구 양재동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 송파구 문정동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로부근,승용,원동기
서울특별시 구로구 개봉동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,승용,자전거
서울특별시 강남구 논현동,경상사고,0,0,2,0,차대차 - 기타,단일로 - 기타,이륜,승용
서울특별시 구로구 고척동,중상사고,0,1,0,0,차대차 - 추돌,단일로 - 기타,승용,자전거
서울특별시 서대문구 북가좌동,경상사고,0,0,2,0,차대차 - 측면충돌,기타 - 기타,승용,승용
서울특별시 용산구 보광동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로부근,승용,이륜
서울특별시 마포구 성산동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승합,승합
서울특별시 관악구 봉천동,중상사고,0,3,7,3,차대차 - 측면충돌,교차로 - 교차로안,승합,승용
서울특별시 구로구 가리봉동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,자전거,화물
서울특별시 금천구 시흥동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 강북구 미아동,경상사고,0,0,1,0,차량단독 - 기타,기타 - 기타,승합,
서울특별시 영등포구 당산동3가,경상사고,0,0,1,0,차대차 - 기타,주차장 - 주차장,승용,승용
서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,자전거,승용
서울특별시 서초구 서초동,경상사고,0,0,1,0,차대사람 - 보도통행중,단일로 - 기타,화물,보행자
서울특별시 성북구 삼선동1가,경상사고,0,0,2,1,차대차 - 기타,단일로 - 기타,건설기계,승용
서울특별시 동대문구 청량리동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,이륜,승용
서울특별시 용산구 이태원동,경상사고,0,0,1,0,차대사람 - 보도통행중,교차로 - 교차로횡단보도내,승용,보행자
서울특별시 용산구 효창동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,이륜,승용
서울특별시 동작구 대방동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로부근,승용,승용
서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 지하차도(도로)내,승용,승용
서울특별시 강동구 암사동,경상사고,0,0,3,0,차대차 - 측면충돌,단일로 - 기타,승용,자전거
서울특별시 송파구 장지동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,화물,승용
서울특별시 강동구 명일동,중상사고,0,1,0,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 용산구 한남동,경상사고,0,0,2,1,차대차 - 추돌,기타 - 기타,승용,승용
서울특별시 강남구 청담동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,이륜,승용
서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,교차로 - 교차로부근,화물,보행자
서울특별시 노원구 하계동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로횡단보도내,이륜,보행자
서울특별시 서초구 방배동,경상사고,0,0,1,0,차대사람 - 보도통행중,단일로 - 기타,승용,보행자
서울특별시 종로구 종로6가,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,원동기,승합
서울특별시 용산구 신계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,화물,이륜
서울특별시 강북구 미아동,경상사고,0,0,2,0,차대사람 - 기타,단일로 - 기타,이륜,보행자
서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 성동구 금호동4가,중상사고,0,1,0,0,차대차 - 측면충돌,단일로 - 기타,승용,원동기
서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로부근,승용,보행자
서울특별시 강동구 명일동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로부근,승용,보행자
서울특별시 은평구 갈현동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,승용,이륜
서울특별시 종로구 신문로2가,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 송파구 신천동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 송파구 방이동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,이륜
서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,차대사람 - 횡단중,교차로 - 교차로안,승용,보행자
서울특별시 성동구 하왕십리동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,이륜,승용
서울특별시 중랑구 상봉동,중상사고,0,1,0,0,차대사람 - 기타,기타 - 기타,승합,보행자
서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 양천구 목동,중상사고,0,1,0,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 서초구 방배동,중상사고,0,1,0,0,차량단독 - 기타,단일로 - 기타,승합,
서울특별시 강북구 미아동,경상사고,0,0,2,0,차대차 - 기타,교차로 - 교차로안,이륜,승용
